대여소번호,시간대,대여가능수량,보관소(대여소)명,설치대수,거치율,geometry,CELL_ID,CELL_X,CELL_Y,GID,LBL,VAL
102,7,12.166666666666666, 망원역 1번출구 앞,35.0,34.76190476190476,POINT (126.91062927 37.5556488),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
102,8,10.666666666666666, 망원역 1번출구 앞,35.0,30.476190476190474,POINT (126.91062927 37.5556488),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
102,18,22.0, 망원역 1번출구 앞,35.0,62.85714285714285,POINT (126.91062927 37.5556488),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
102,19,21.166666666666668, 망원역 1번출구 앞,35.0,60.47619047619048,POINT (126.91062927 37.5556488),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
103,7,2.1666666666666665, 망원역 2번출구 앞,28.0,7.738095238095237,POINT (126.91083527 37.55495071),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
103,8,2.6666666666666665, 망원역 2번출구 앞,28.0,9.523809523809524,POINT (126.91083527 37.55495071),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
103,18,7.166666666666667, 망원역 2번출구 앞,28.0,25.5952380952381,POINT (126.91083527 37.55495071),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
103,19,8.0, 망원역 2번출구 앞,28.0,28.57142857142857,POINT (126.91083527 37.55495071),다사47755075,947875,1950875,다사47bb50bb,7478136.63,7478136.63
104,7,0.0, 합정역 1번출구 앞,26.0,0.0,POINT (126.91498566 37.55062866),다사48255025,948375,1950375,다사48ab50ab,10155702.93,10155702.93
104,8,0.0, 합정역 1번출구 앞,26.0,0.0,POINT (126.91498566 37.55062866),다사48255025,948375,1950375,다사48ab50ab,10155702.93,10155702.93
104,18,10.0, 합정역 1번출구 앞,26.0,38.46153846153847,POINT (126.91498566 37.55062866),다사48255025,948375,1950375,다사48ab50ab,10155702.93,10155702.93
104,19,9.0, 합정역 1번출구 앞,26.0,34.61538461538461,POINT (126.91498566 37.55062866),다사48255025,948375,1950375,다사48ab50ab,10155702.93,10155702.93
105,7,0.0, 합정역 5번출구 앞,10.0,0.0,POINT (126.91482544 37.55000687),다사48255000,948375,1950125,다사48ab50aa,13350169.04,13350169.04
105,8,1.0, 합정역 5번출구 앞,10.0,10.0,POINT (126.91482544 37.55000687),다사48255000,948375,1950125,다사48ab50aa,13350169.04,13350169.04
105,18,0.1666666666666666, 합정역 5번출구 앞,10.0,1.6666666666666667,POINT (126.91482544 37.55000687),다사48255000,948375,1950125,다사48ab50aa,13350169.04,13350169.04
105,19,1.0, 합정역 5번출구 앞,10.0,10.0,POINT (126.91482544 37.55000687),다사48255000,948375,1950125,다사48ab50aa,13350169.04,13350169.04
106,7,3.0, 합정역 7번출구 앞,24.0,12.5,POINT (126.91282654 37.54864502),다사48005000,948125,1950125,다사48aa50aa,7241102.12,7241102.12
106,8,4.0, 합정역 7번출구 앞,24.0,16.666666666666664,POINT (126.91282654 37.54864502),다사48005000,948125,1950125,다사48aa50aa,7241102.12,7241102.12
106,18,3.0, 합정역 7번출구 앞,24.0,12.5,POINT (126.91282654 37.54864502),다사48005000,948125,1950125,다사48aa50aa,7241102.12,7241102.12
106,19,4.0, 합정역 7번출구 앞,24.0,16.666666666666664,POINT (126.91282654 37.54864502),다사48005000,948125,1950125,다사48aa50aa,7241102.12,7241102.12
107,7,14.0, 신한은행 서교동지점,10.0,140.0,POINT (126.91850281 37.55751038),다사48505100,948625,1951125,다사48ba51aa,8383212.84,8383212.84
107,8,11.5, 신한은행 서교동지점,10.0,115.0,POINT (126.91850281 37.55751038),다사48505100,948625,1951125,다사48ba51aa,8383212.84,8383212.84
107,18,17.333333333333332, 신한은행 서교동지점,10.0,173.33333333333331,POINT (126.91850281 37.55751038),다사48505100,948625,1951125,다사48ba51aa,8383212.84,8383212.84
107,19,15.166666666666666, 신한은행 서교동지점,10.0,151.66666666666666,POINT (126.91850281 37.55751038),다사48505100,948625,1951125,다사48ba51aa,8383212.84,8383212.84
108,7,0.1666666666666666, 서교동 사거리,20.0,0.8333333333333334,POINT (126.91861725 37.55274582),다사48505050,948625,1950625,다사48ba50ba,11355899.16,11355899.16
108,8,0.8333333333333334, 서교동 사거리,20.0,4.166666666666667,POINT (126.91861725 37.55274582),다사48505050,948625,1950625,다사48ba50ba,11355899.16,11355899.16
108,18,8.166666666666666, 서교동 사거리,20.0,40.833333333333336,POINT (126.91861725 37.55274582),다사48505050,948625,1950625,다사48ba50ba,11355899.16,11355899.16
108,19,9.0, 서교동 사거리,20.0,45.0,POINT (126.91861725 37.55274582),다사48505050,948625,1950625,다사48ba50ba,11355899.16,11355899.16
111,7,2.0, 상수역 2번출구 앞,20.0,10.0,POINT (126.92353058 37.54787064),다사49004975,949125,1949875,다사49aa49bb,7011048.28,7011048.28
111,8,2.0, 상수역 2번출구 앞,20.0,10.0,POINT (126.92353058 37.54787064),다사49004975,949125,1949875,다사49aa49bb,7011048.28,7011048.28
111,18,4.333333333333333, 상수역 2번출구 앞,20.0,21.666666666666664,POINT (126.92353058 37.54787064),다사49004975,949125,1949875,다사49aa49bb,7011048.28,7011048.28
111,19,5.0, 상수역 2번출구 앞,20.0,25.0,POINT (126.92353058 37.54787064),다사49004975,949125,1949875,다사49aa49bb,7011048.28,7011048.28
113,7,20.166666666666668, 홍대입구역 2번출구 앞,50.0,40.333333333333336,POINT (126.9238205 37.5574379),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
113,8,19.0, 홍대입구역 2번출구 앞,50.0,38.0,POINT (126.9238205 37.5574379),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
113,18,23.0, 홍대입구역 2번출구 앞,50.0,46.0,POINT (126.9238205 37.5574379),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
113,19,22.5, 홍대입구역 2번출구 앞,50.0,45.0,POINT (126.9238205 37.5574379),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
114,7,8.0, 홍대입구역 8번출구 앞,30.0,26.666666666666668,POINT (126.92442322 37.55706024),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
114,8,8.0, 홍대입구역 8번출구 앞,30.0,26.666666666666668,POINT (126.92442322 37.55706024),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
114,18,21.0, 홍대입구역 8번출구 앞,30.0,70.0,POINT (126.92442322 37.55706024),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
114,19,23.666666666666668, 홍대입구역 8번출구 앞,30.0,78.8888888888889,POINT (126.92442322 37.55706024),다사49005100,949125,1951125,다사49aa51aa,10968942.77,10968942.77
115,7,4.0, 마스타 빌딩 앞,30.0,13.333333333333334,POINT (126.92711639 37.55893326),다사49255100,949375,1951125,다사49ab51aa,9497837.8,9497837.8
115,8,4.0, 마스타 빌딩 앞,30.0,13.333333333333334,POINT (126.92711639 37.55893326),다사49255100,949375,1951125,다사49ab51aa,9497837.8,9497837.8
115,18,0.0, 마스타 빌딩 앞,30.0,0.0,POINT (126.92711639 37.55893326),다사49255100,949375,1951125,다사49ab51aa,9497837.8,9497837.8
115,19,0.0, 마스타 빌딩 앞,30.0,0.0,POINT (126.92711639 37.55893326),다사49255100,949375,1951125,다사49ab51aa,9497837.8,9497837.8
117,7,12.0, 홍은사거리,46.0,26.08695652173913,POINT (126.94132996 37.59115982),다사50505475,950625,1954875,다사50ba54bb,1689680.0,1689680.0
117,8,10.166666666666666, 홍은사거리,46.0,22.10144927536232,POINT (126.94132996 37.59115982),다사50505475,950625,1954875,다사50ba54bb,1689680.0,1689680.0
117,18,6.5, 홍은사거리,46.0,14.130434782608695,POINT (126.94132996 37.59115982),다사50505475,950625,1954875,다사50ba54bb,1689680.0,1689680.0
117,19,7.833333333333333, 홍은사거리,46.0,17.02898550724638,POINT (126.94132996 37.59115982),다사50505475,950625,1954875,다사50ba54bb,1689680.0,1689680.0
118,7,17.166666666666668, 광흥창역 2번출구 앞,19.0,90.35087719298248,POINT (126.9317627 37.54773331),다사49754975,949875,1949875,다사49bb49bb,6881330.23,6881330.23
118,8,18.166666666666668, 광흥창역 2번출구 앞,19.0,95.6140350877193,POINT (126.9317627 37.54773331),다사49754975,949875,1949875,다사49bb49bb,6881330.23,6881330.23
118,18,19.33333333333333, 광흥창역 2번출구 앞,19.0,101.75438596491226,POINT (126.9317627 37.54773331),다사49754975,949875,1949875,다사49bb49bb,6881330.23,6881330.23
118,19,19.0, 광흥창역 2번출구 앞,19.0,100.0,POINT (126.9317627 37.54773331),다사49754975,949875,1949875,다사49bb49bb,6881330.23,6881330.23
119,7,9.833333333333334, 서강나루 공원,20.0,49.16666666666667,POINT (126.93105316 37.54528427),다사49504950,949625,1949625,다사49ba49ba,6250917.76,6250917.76
119,8,9.5, 서강나루 공원,20.0,47.5,POINT (126.93105316 37.54528427),다사49504950,949625,1949625,다사49ba49ba,6250917.76,6250917.76
119,18,8.833333333333334, 서강나루 공원,20.0,44.16666666666667,POINT (126.93105316 37.54528427),다사49504950,949625,1949625,다사49ba49ba,6250917.76,6250917.76
119,19,11.0, 서강나루 공원,20.0,55.00000000000001,POINT (126.93105316 37.54528427),다사49504950,949625,1949625,다사49ba49ba,6250917.76,6250917.76
120,7,7.0, 신수동 사거리,10.0,70.0,POINT (126.93411255 37.54524231),다사50004950,950125,1949625,다사50aa49ba,6088539.58,6088539.58
120,8,6.0, 신수동 사거리,10.0,60.0,POINT (126.93411255 37.54524231),다사50004950,950125,1949625,다사50aa49ba,6088539.58,6088539.58
120,18,5.0, 신수동 사거리,10.0,50.0,POINT (126.93411255 37.54524231),다사50004950,950125,1949625,다사50aa49ba,6088539.58,6088539.58
120,19,5.0, 신수동 사거리,10.0,50.0,POINT (126.93411255 37.54524231),다사50004950,950125,1949625,다사50aa49ba,6088539.58,6088539.58
121,7,21.666666666666668, 마포소방서 앞,30.0,72.22222222222221,POINT (126.93317413 37.54976654),다사49755000,949875,1950125,다사49bb50aa,6698992.94,6698992.94
121,8,19.33333333333333, 마포소방서 앞,30.0,64.44444444444444,POINT (126.93317413 37.54976654),다사49755000,949875,1950125,다사49bb50aa,6698992.94,6698992.94
121,18,11.0, 마포소방서 앞,30.0,36.66666666666666,POINT (126.93317413 37.54976654),다사49755000,949875,1950125,다사49bb50aa,6698992.94,6698992.94
121,19,11.0, 마포소방서 앞,30.0,36.66666666666666,POINT (126.93317413 37.54976654),다사49755000,949875,1950125,다사49bb50aa,6698992.94,6698992.94
122,7,2.5, 신성기사식당 앞,20.0,12.5,POINT (126.93837738 37.54745865),다사50254975,950375,1949875,다사50ab49bb,5982672.4,5982672.4
122,8,1.8333333333333333, 신성기사식당 앞,20.0,9.166666666666666,POINT (126.93837738 37.54745865),다사50254975,950375,1949875,다사50ab49bb,5982672.4,5982672.4
122,18,2.1666666666666665, 신성기사식당 앞,20.0,10.833333333333332,POINT (126.93837738 37.54745865),다사50254975,950375,1949875,다사50ab49bb,5982672.4,5982672.4
122,19,1.1666666666666667, 신성기사식당 앞,20.0,5.833333333333333,POINT (126.93837738 37.54745865),다사50254975,950375,1949875,다사50ab49bb,5982672.4,5982672.4
123,7,13.0, 문화촌 공원,40.0,32.5,POINT (126.9473877 37.59432983),다사51005500,951125,1955125,다사51aa55aa,2771987.31,2771987.31
123,8,13.0, 문화촌 공원,40.0,32.5,POINT (126.9473877 37.59432983),다사51005500,951125,1955125,다사51aa55aa,2771987.31,2771987.31
123,18,3.5, 문화촌 공원,40.0,8.75,POINT (126.9473877 37.59432983),다사51005500,951125,1955125,다사51aa55aa,2771987.31,2771987.31
123,19,3.5, 문화촌 공원,40.0,8.75,POINT (126.9473877 37.59432983),다사51005500,951125,1955125,다사51aa55aa,2771987.31,2771987.31
124,7,7.833333333333333, 서강대 정문 건너편,70.0,11.19047619047619,POINT (126.93698883 37.55113983),다사50255025,950375,1950375,다사50ab50ab,6647587.7,6647587.7
124,8,8.0, 서강대 정문 건너편,70.0,11.428571428571429,POINT (126.93698883 37.55113983),다사50255025,950375,1950375,다사50ab50ab,6647587.7,6647587.7
124,18,4.0, 서강대 정문 건너편,70.0,5.714285714285714,POINT (126.93698883 37.55113983),다사50255025,950375,1950375,다사50ab50ab,6647587.7,6647587.7
124,19,4.0, 서강대 정문 건너편,70.0,5.714285714285714,POINT (126.93698883 37.55113983),다사50255025,950375,1950375,다사50ab50ab,6647587.7,6647587.7
126,7,4.833333333333333, 서강대 후문 옆,40.0,12.083333333333332,POINT (126.94384766 37.55041122),다사50755025,950875,1950375,다사50bb50ab,4106783.99,4106783.99
126,8,4.5, 서강대 후문 옆,40.0,11.25,POINT (126.94384766 37.55041122),다사50755025,950875,1950375,다사50bb50ab,4106783.99,4106783.99
126,18,1.0, 서강대 후문 옆,40.0,2.5,POINT (126.94384766 37.55041122),다사50755025,950875,1950375,다사50bb50ab,4106783.99,4106783.99
126,19,1.0, 서강대 후문 옆,40.0,2.5,POINT (126.94384766 37.55041122),다사50755025,950875,1950375,다사50bb50ab,4106783.99,4106783.99
