격자_ID,따릉이_대여소_개수
34,2
39,1
40,1
54,1
55,2
64,1
68,1
74,2
75,1
82,1
83,2
84,1
89,1
91,1
93,1
94,3
95,1
114,1
116,1
120,1
121,1
122,3
123,1
124,2
127,1
128,3
142,1
148,1
150,1
156,1
158,2
173,1
195,1
202,2
203,3
204,1
205,1
219,2
220,1
221,2
223,1
224,1
230,1
236,2
262,1
273,1
277,1
278,1
280,1
284,1
290,1
291,1
294,2
295,1
296,2
297,1
299,1
301,2
303,1
304,3
306,1
318,1
353,1
357,2
362,1
379,2
380,1
381,1
382,3
397,1
399,2
401,2
411,1
415,1
418,1
425,2
426,2
427,1
430,1
444,2
445,1
455,2
460,1
464,1
472,2
474,1
475,2
479,1
496,1
518,1
523,1
525,1
527,1
529,1
530,1
541,1
544,1
549,1
550,1
552,1
553,1
559,2
560,1
563,1
567,1
579,1
589,1
595,1
600,2
604,1
605,1
606,1
610,1
612,1
615,1
626,1
628,1
632,1
633,1
636,1
639,1
642,1
650,3
652,1
653,1
655,1
659,1
664,1
676,2
677,1
681,1
682,1
684,1
688,1
690,1
695,1
696,1
702,3
704,1
705,1
706,1
713,1
716,2
723,2
725,2
729,1
730,1
732,1
737,1
738,1
739,1
740,1
744,3
745,1
751,1
752,1
753,2
754,1
757,1
759,2
760,1
768,1
772,1
774,2
780,1
785,1
792,1
794,1
799,1
810,1
811,1
812,1
813,1
819,1
821,1
823,1
824,1
827,2
832,1
835,2
837,1
839,1
843,1
846,1
847,1
848,1
854,1
855,2
857,1
858,2
864,1
866,1
867,2
869,2
870,1
871,1
872,1
878,1
881,2
884,1
885,3
888,1
892,1
895,1
898,2
903,3
909,1
911,1
912,1
929,2
930,1
933,1
935,1
943,1
944,2
945,1
946,1
950,1
960,1
962,1
975,1
979,2
984,1
986,1
987,1
988,2
989,1
990,1
991,1
992,2
993,1
994,1
998,1
999,1
1003,2
1007,1
1012,1
1016,2
1019,1
1020,1
1021,1
1025,1
1026,2
1028,2
1030,1
1036,1
1048,2
1050,2
1052,1
1053,1
1054,1
1056,3
1059,2
1060,1
1062,2
1067,2
1081,1
1082,1
1095,1
1096,2
1098,1
1103,2
1104,1
1110,1
1121,1
1127,1
1128,1
1131,1
1134,2
1135,1
1169,1
1171,2
1173,1
1177,1
1178,1
1180,1
1181,3
1184,1
1193,1
1194,1
1196,2
1206,1
1233,1
1234,1
1243,1
1245,1
1246,1
1247,3
1250,1
1256,1
1260,1
1261,1
1262,1
1263,1
1265,2
1272,1
1288,1
1290,1
1298,2
1299,1
1301,1
1306,1
1313,1
1316,1
1321,1
1323,1
1325,1
1326,1
1327,2
1329,1
1330,1
1353,2
1354,1
1355,1
1356,2
1372,1
1380,2
1383,1
1384,1
1392,1
1393,1
1395,1
1399,1
1402,1
1405,1
1408,1
1412,1
1416,2
1433,1
1458,1
1470,1
1480,1
1483,1
1485,1
1488,2
1490,2
1492,1
1499,1
1507,1
1527,1
1538,1
1543,1
1545,1
1547,1
1548,1
1558,1
1562,1
1564,1
1573,1
1575,2
1602,1
1616,1
1618,1
1627,3
1628,1
1630,1
1631,1
1633,1
1647,2
1649,1
1653,2
1659,1
1663,1
1664,1
1668,2
1669,1
1671,1
1690,1
1692,1
1693,1
1712,1
1713,2
1717,2
1720,1
1724,2
1727,1
1730,1
1761,1
1766,1
