격자_ID,버스정류장_개수
0.0,1
2.0,1
17.0,1
23.0,1
24.0,1
33.0,3
34.0,1
35.0,1
36.0,4
39.0,2
40.0,2
53.0,2
54.0,4
55.0,2
63.0,1
64.0,1
67.0,1
74.0,5
75.0,1
76.0,5
78.0,4
82.0,3
83.0,2
84.0,3
89.0,1
90.0,2
91.0,1
93.0,4
94.0,8
95.0,4
96.0,4
101.0,3
102.0,1
103.0,1
104.0,2
113.0,2
114.0,4
116.0,4
121.0,1
122.0,1
124.0,4
126.0,1
128.0,4
135.0,1
136.0,2
141.0,1
142.0,1
148.0,2
149.0,1
156.0,2
157.0,2
162.0,2
173.0,6
175.0,1
181.0,3
182.0,1
193.0,3
194.0,3
195.0,2
200.0,2
201.0,4
202.0,3
203.0,5
204.0,3
205.0,2
206.0,2
207.0,2
208.0,1
210.0,1
212.0,3
216.0,2
219.0,1
222.0,7
223.0,3
224.0,6
230.0,1
231.0,1
235.0,2
236.0,4
237.0,2
238.0,2
247.0,1
248.0,1
257.0,1
262.0,2
263.0,1
273.0,1
274.0,2
275.0,2
278.0,6
279.0,3
280.0,2
284.0,2
289.0,3
290.0,2
291.0,1
293.0,1
294.0,1
295.0,8
296.0,6
299.0,4
301.0,7
302.0,3
303.0,2
317.0,3
318.0,3
319.0,4
320.0,6
326.0,1
327.0,1
341.0,3
342.0,1
354.0,2
357.0,2
358.0,2
359.0,3
360.0,1
362.0,3
375.0,2
379.0,1
381.0,2
385.0,1
386.0,1
397.0,5
398.0,4
399.0,2
400.0,3
401.0,2
402.0,2
403.0,2
405.0,1
410.0,2
415.0,1
416.0,3
417.0,4
418.0,3
420.0,2
423.0,4
424.0,7
425.0,4
426.0,2
427.0,6
430.0,4
432.0,1
438.0,2
443.0,3
444.0,4
445.0,4
455.0,1
456.0,6
457.0,4
459.0,2
460.0,2
461.0,6
462.0,5
464.0,2
467.0,2
471.0,6
472.0,4
474.0,5
475.0,2
478.0,6
479.0,1
482.0,1
483.0,1
484.0,1
492.0,6
495.0,1
496.0,2
498.0,2
499.0,2
501.0,1
508.0,2
511.0,2
512.0,2
523.0,3
527.0,5
528.0,2
529.0,2
530.0,6
533.0,2
539.0,2
540.0,2
544.0,4
548.0,3
549.0,2
550.0,4
553.0,5
554.0,2
559.0,4
563.0,1
564.0,2
565.0,2
567.0,2
579.0,3
589.0,2
599.0,1
600.0,5
601.0,2
602.0,1
605.0,2
606.0,3
608.0,6
610.0,8
612.0,4
613.0,2
614.0,6
620.0,2
622.0,3
624.0,1
625.0,1
626.0,3
628.0,5
629.0,3
632.0,4
633.0,2
635.0,2
639.0,4
640.0,2
642.0,3
650.0,2
652.0,4
655.0,2
656.0,2
658.0,3
661.0,1
664.0,2
676.0,1
679.0,3
682.0,2
683.0,1
684.0,4
685.0,2
688.0,2
689.0,2
690.0,2
691.0,1
692.0,1
695.0,2
696.0,2
697.0,1
698.0,2
699.0,4
702.0,4
703.0,1
704.0,2
705.0,4
706.0,4
714.0,2
715.0,6
716.0,1
723.0,4
724.0,1
726.0,2
727.0,3
728.0,2
729.0,4
730.0,2
734.0,6
737.0,2
739.0,1
740.0,2
745.0,3
746.0,1
749.0,1
751.0,2
752.0,2
753.0,4
754.0,6
757.0,1
758.0,1
759.0,1
760.0,1
762.0,3
766.0,2
768.0,2
769.0,2
771.0,2
772.0,2
773.0,5
774.0,4
775.0,2
777.0,2
779.0,1
780.0,2
783.0,2
785.0,2
787.0,2
792.0,1
793.0,2
794.0,2
799.0,1
810.0,1
811.0,1
812.0,1
813.0,4
814.0,2
816.0,2
817.0,2
818.0,2
820.0,2
821.0,1
823.0,3
824.0,2
827.0,1
830.0,2
832.0,4
835.0,4
836.0,2
837.0,4
838.0,2
843.0,2
844.0,2
846.0,2
847.0,2
848.0,2
849.0,3
850.0,1
851.0,1
852.0,1
853.0,2
854.0,2
857.0,1
858.0,2
864.0,2
865.0,1
869.0,2
872.0,2
873.0,2
874.0,1
875.0,4
878.0,3
879.0,2
881.0,4
885.0,2
886.0,4
888.0,1
889.0,3
891.0,2
892.0,4
895.0,2
896.0,2
900.0,5
901.0,5
907.0,2
909.0,2
910.0,2
911.0,2
912.0,2
916.0,2
918.0,4
920.0,3
921.0,2
922.0,2
928.0,3
929.0,5
930.0,2
932.0,4
933.0,1
934.0,1
935.0,2
937.0,4
938.0,1
940.0,4
942.0,4
943.0,2
944.0,5
945.0,2
946.0,2
947.0,2
948.0,4
960.0,6
961.0,2
962.0,2
963.0,3
964.0,2
966.0,2
976.0,2
979.0,5
981.0,2
984.0,4
986.0,1
989.0,1
990.0,2
991.0,2
992.0,5
993.0,2
994.0,2
998.0,1
1003.0,2
1007.0,1
1008.0,3
1009.0,1
1010.0,2
1013.0,2
1015.0,2
1016.0,2
1019.0,2
1020.0,1
1023.0,2
1026.0,4
1027.0,2
1030.0,2
1033.0,1
1035.0,1
1036.0,1
1039.0,2
1040.0,1
1047.0,1
1048.0,2
1050.0,2
1052.0,1
1053.0,8
1054.0,5
1055.0,2
1056.0,2
1058.0,3
1060.0,4
1062.0,1
1064.0,2
1065.0,1
1066.0,1
1068.0,2
1069.0,2
1070.0,1
1082.0,4
1084.0,1
1085.0,1
1096.0,2
1097.0,1
1098.0,2
1100.0,2
1103.0,2
1104.0,4
1105.0,3
1123.0,1
1127.0,3
1128.0,2
1130.0,4
1131.0,2
1132.0,1
1134.0,1
1136.0,3
1155.0,2
1161.0,2
1169.0,1
1171.0,2
1173.0,2
1174.0,3
1175.0,1
1181.0,1
1182.0,4
1184.0,2
1187.0,1
1194.0,1
1195.0,1
1196.0,2
1198.0,1
1206.0,2
1214.0,1
1231.0,2
1232.0,1
1233.0,1
1234.0,2
1236.0,2
1238.0,3
1239.0,1
1242.0,2
1243.0,3
1245.0,3
1247.0,1
1248.0,2
1250.0,2
1256.0,2
1257.0,2
1260.0,5
1261.0,2
1263.0,2
1270.0,1
1274.0,2
1287.0,1
1295.0,1
1297.0,1
1298.0,2
1299.0,1
1301.0,1
1305.0,1
1306.0,3
1307.0,1
1311.0,3
1312.0,3
1313.0,2
1321.0,1
1322.0,2
1323.0,1
1324.0,2
1325.0,1
1326.0,1
1327.0,2
1328.0,4
1330.0,2
1334.0,4
1339.0,2
1345.0,1
1346.0,4
1351.0,2
1353.0,1
1354.0,2
1355.0,3
1356.0,2
1358.0,2
1371.0,5
1372.0,1
1379.0,2
1383.0,3
1384.0,4
1392.0,2
1393.0,2
1395.0,4
1396.0,2
1398.0,2
1400.0,1
1402.0,3
1403.0,1
1405.0,4
1406.0,2
1407.0,2
