격자_ID,따릉이_대여소_개수,지하철역_개수,버스정류장_개수,평균_거치율
83,2,2,2,201.04166666666669
95,1,2,4,131.66666666666669
204,1,1,3,23.4375
224,1,1,6,30.0
236,2,1,4,163.22916666666669
262,1,1,2,45.83333333333333
294,2,1,1,43.75
296,2,1,6,61.83035714285714
301,2,2,7,81.01190476190477
379,2,1,1,72.63888888888889
397,1,1,5,52.49999999999999
475,2,1,2,7.971014492753623
523,1,1,3,50.0
550,1,1,4,0.3787878787878787
633,1,1,2,0.0
696,1,1,2,260.0
705,1,1,4,20.83333333333333
723,2,1,4,15.416666666666666
827,2,1,1,71.52777777777777
858,2,1,2,159.16666666666666
869,2,2,2,83.33333333333334
960,1,1,6,346.29629629629625
979,2,2,5,20.416666666666664
1003,2,2,2,171.35416666666669
1026,2,1,4,223.125
1052,1,1,1,16.111111111111114
1056,3,1,2,155.37037037037038
1104,1,1,4,96.66666666666669
1134,2,1,1,84.375
1169,1,1,1,265.55555555555554
1256,1,1,2,547.9166666666666
1260,1,1,5,553.3333333333334
1356,2,1,2,66.66666666666666
1490,2,2,4,72.88461538461539
1562,1,3,7,50.0
1627,3,1,4,62.89774557165862
1851,1,1,5,41.66666666666667
1872,1,1,3,113.54166666666666
1979,2,1,5,97.79761904761904
2002,2,1,1,80.0
2008,1,1,5,62.77777777777777
2013,1,1,7,69.16666666666667
2035,1,1,2,52.083333333333336
2036,3,1,1,45.27777777777777
2046,2,1,4,32.5
2094,2,1,2,52.85541752933057
2106,1,1,2,190.0
2118,1,1,3,1.5151515151515151
2295,3,2,1,220.03968253968253
2314,2,1,1,2.5
2323,1,1,4,55.833333333333336
2412,1,1,6,112.28070175438596
2460,3,1,6,85.37037037037037
2469,2,2,11,79.58333333333333
2574,2,1,2,111.875
2584,4,1,3,7.5
2647,1,1,5,50.27777777777778
2655,1,1,1,154.16666666666669
2664,2,1,3,114.36507936507935
2816,2,1,7,27.41841491841492
2867,1,1,6,250.0
2873,2,1,3,89.12037037037037
2949,3,1,2,15.944989106753814
3015,2,1,5,7.083333333333333
3057,2,1,5,84.62301587301587
3064,2,1,9,126.73611111111111
3136,2,1,5,52.60416666666666
3170,2,1,8,34.32539682539682
3327,1,1,4,55.55555555555556
3385,1,1,9,22.5
3408,2,1,6,68.95833333333333
3436,3,1,5,1.3157894736842106
3509,1,1,3,11.538461538461538
3564,1,1,3,47.3731884057971
3567,1,1,2,34.375
3572,2,1,7,19.98397435897436
3605,2,1,2,77.81954887218045
3668,1,2,5,27.083333333333336
3723,1,1,2,19.39102564102564
3740,2,1,4,0.0
3744,2,1,8,9.166666666666668
3748,1,1,4,122.5
3758,3,1,9,80.44117647058823
3802,1,3,2,0.0
3812,2,1,5,13.333333333333332
3825,3,2,2,24.166666666666668
3829,2,1,6,125.55555555555556
3874,2,3,13,198.61111111111111
3916,1,1,4,268.33333333333337
3958,1,1,9,235.7142857142857
3989,1,2,4,13.333333333333334
4006,1,1,4,1.3888888888888888
4015,1,1,4,59.72222222222222
4043,1,1,2,54.16666666666666
4092,2,1,4,26.85515873015873
4165,1,1,6,100.0
4219,1,1,4,55.26315789473684
4225,1,1,2,107.91666666666666
4246,1,2,7,14.583333333333332
4257,1,1,5,84.72222222222223
4285,2,1,3,44.375
4356,1,1,3,71.66666666666666
4392,1,1,2,238.33333333333337
4517,1,1,3,47.083333333333336
4518,2,2,7,77.91666666666667
4605,1,1,7,105.95238095238096
